id,email,phone,first_name,last_name,date_of_birth,status,email_verified_at,phone_verified_at,last_login_at,created_at,updated_at,created_by,updated_by,deleted_at
23adaeda-61a3-464f-b460-80193d1d63da,admin@platform.com,+15550000001,Platform,Admin,,active,2024-01-01 00:00:00,2024-01-01 00:00:00,2026-01-04 13:58:04,2024-01-01 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
acb3ab6c-dc81-48b6-bb98-725b07bbef57,admin11@company1.com,+1555000011,Company1,Admin1,,active,2024-01-02 00:00:00,2024-01-02 00:00:00,2026-01-04 12:58:04,2024-01-02 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
dd79c1cd-5a5a-4e32-b1c2-5854acd272e8,admin12@company1.com,+1555000012,Company1,Admin2,,active,2024-01-02 00:00:00,2024-01-02 00:00:00,2026-01-04 12:58:04,2024-01-02 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
f07e882f-1d10-42a1-a5fb-fb8030178b4e,admin21@company2.com,+1555000021,Company2,Admin1,,active,2024-01-03 00:00:00,2024-01-03 00:00:00,2026-01-04 12:58:04,2024-01-03 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
1120446b-fa82-45c6-8829-0f1fb8a599f7,admin22@company2.com,+1555000022,Company2,Admin2,,active,2024-01-03 00:00:00,2024-01-03 00:00:00,2026-01-04 12:58:04,2024-01-03 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
931101f7-b06f-43fa-baed-4492444ce621,admin31@company3.com,+1555000031,Company3,Admin1,,active,2024-01-04 00:00:00,2024-01-04 00:00:00,2026-01-04 12:58:04,2024-01-04 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
cc149b55-31d1-4474-aa21-4e7804867691,admin32@company3.com,+1555000032,Company3,Admin2,,active,2024-01-04 00:00:00,2024-01-04 00:00:00,2026-01-04 12:58:04,2024-01-04 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
ad64e426-7c81-47a2-877a-e6ac31667580,admin41@company4.com,+1555000041,Company4,Admin1,,active,2024-01-05 00:00:00,2024-01-05 00:00:00,2026-01-04 12:58:04,2024-01-05 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
84e88ee8-909f-4692-a2d2-0afed4c91c7f,admin42@company4.com,+1555000042,Company4,Admin2,,active,2024-01-05 00:00:00,2024-01-05 00:00:00,2026-01-04 12:58:04,2024-01-05 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
4e1c8012-f079-4c5b-ba41-e7fe2d1afca8,admin51@company5.com,+1555000051,Company5,Admin1,,active,2024-01-06 00:00:00,2024-01-06 00:00:00,2026-01-04 12:58:04,2024-01-06 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
6c737295-c858-4816-9629-3bb3e264a606,admin52@company5.com,+1555000052,Company5,Admin2,,active,2024-01-06 00:00:00,2024-01-06 00:00:00,2026-01-04 12:58:04,2024-01-06 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
88b53f5b-4753-43ce-bd42-2f42750d71b6,customer1@testmail.com,+15551000001,Jordan,Johnson,1981-02-01,active,2024-01-02 00:00:00,2024-01-02 00:00:00,2026-01-03 14:58:04,2024-01-02 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
52efba3d-138f-4b14-b601-2b6af84884d7,customer2@testmail.com,+15551000002,Taylor,Williams,1982-03-02,active,2024-01-03 00:00:00,2024-01-03 00:00:00,2026-01-02 14:58:04,2024-01-03 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
7d574358-e456-4bc0-bd6e-737a4e660a59,customer3@testmail.com,+15551000003,Morgan,Brown,1983-04-03,active,2024-01-04 00:00:00,2024-01-04 00:00:00,2026-01-01 14:58:04,2024-01-04 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
ff932d57-d80e-47b8-8890-1bc4be34f16f,customer4@testmail.com,+15551000004,Casey,Jones,1984-05-04,active,2024-01-05 00:00:00,2024-01-05 00:00:00,2025-12-31 14:58:04,2024-01-05 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
ebef547f-47ba-4714-9089-09d0de16512d,customer5@testmail.com,+15551000005,Riley,Garcia,1985-06-05,active,2024-01-06 00:00:00,2024-01-06 00:00:00,2025-12-30 14:58:04,2024-01-06 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
4f8c0906-f410-4b29-9485-a5a2d0c48fcc,customer6@testmail.com,+15551000006,Avery,Miller,1986-07-06,active,2024-01-07 00:00:00,2024-01-07 00:00:00,2025-12-29 14:58:04,2024-01-07 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
73c14063-593f-4f70-bc89-91226848617a,customer7@testmail.com,+15551000007,Quinn,Davis,1987-08-07,active,2024-01-08 00:00:00,2024-01-08 00:00:00,2026-01-04 14:58:04,2024-01-08 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
9ede05ba-e8ba-4e1c-a763-6eb938674bd4,customer8@testmail.com,+15551000008,Sage,Wilson,1988-09-08,active,2024-01-09 00:00:00,2024-01-09 00:00:00,2026-01-03 14:58:04,2024-01-09 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
f81b5321-6858-4d52-a4ee-660efcf5ec36,customer9@testmail.com,+15551000009,River,Moore,1989-10-09,active,2024-01-10 00:00:00,2024-01-10 00:00:00,2026-01-02 14:58:04,2024-01-10 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
416d945c-161e-4330-9fea-ae2888ca2120,customer10@testmail.com,+15551000010,Alex,Smith,1990-11-10,active,2024-01-11 00:00:00,2024-01-11 00:00:00,2026-01-01 14:58:04,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
e0fff3da-3342-45cb-9fd4-395ac251b90b,customer11@testmail.com,+15551000011,Jordan,Johnson,1991-12-11,active,2024-01-12 00:00:00,2024-01-12 00:00:00,2025-12-31 14:58:04,2024-01-12 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
2e4ec524-24dd-476e-b734-58cebd653129,customer12@testmail.com,+15551000012,Taylor,Williams,1992-01-12,active,2024-01-13 00:00:00,2024-01-13 00:00:00,2025-12-30 14:58:04,2024-01-13 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
792b565d-4d59-4f6c-b8ec-061ac1ea0d5c,customer13@testmail.com,+15551000013,Morgan,Brown,1993-02-13,active,2024-01-14 00:00:00,2024-01-14 00:00:00,2025-12-29 14:58:04,2024-01-14 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
7b6069ec-5dad-4166-8a29-6d773bffd2cb,customer14@testmail.com,+15551000014,Casey,Jones,1994-03-14,active,2024-01-15 00:00:00,2024-01-15 00:00:00,2026-01-04 14:58:04,2024-01-15 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
d6aae71b-665f-459c-b95c-316749044881,customer15@testmail.com,+15551000015,Riley,Garcia,1995-04-15,active,2024-01-16 00:00:00,2024-01-16 00:00:00,2026-01-03 14:58:04,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
d8ea589b-93d6-4631-aff6-5770dae08f29,customer16@testmail.com,+15551000016,Avery,Miller,1996-05-16,active,2024-01-17 00:00:00,2024-01-17 00:00:00,2026-01-02 14:58:04,2024-01-17 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
d5f3704a-8387-41d1-a150-eeffc52d5a45,customer17@testmail.com,+15551000017,Quinn,Davis,1997-06-17,active,2024-01-18 00:00:00,2024-01-18 00:00:00,2026-01-01 14:58:04,2024-01-18 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
85c52e93-6b90-4941-a3d0-edce1649da44,customer18@testmail.com,+15551000018,Sage,Wilson,1998-07-18,active,2024-01-19 00:00:00,2024-01-19 00:00:00,2025-12-31 14:58:04,2024-01-19 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
