id,user_id,phone,email,code,status,purpose,attempts,max_attempts,expires_at,verified_at,created_at,updated_at,created_by,updated_by,deleted_at
c3dea0af-3e7d-44a1-8714-bf7979e97145,85c52e93-6b90-4941-a3d0-edce1649da44,+15551000000,,123456,pending,login,1,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
6a8d8b0b-af17-43c5-a246-1484c027fe9c,a9665ba4-dfc9-44c6-b256-17fe1f6dbe4a,+15551000001,,123456,verified,login,1,3,2026-01-04 15:08:04,2026-01-04 14:53:04,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
8779232d-97cb-4b56-bc31-85f4bf361cd6,c062bd5e-32fa-49b5-9c96-20c00f7c0099,+15551000002,,123456,pending,login,1,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
539583b9-656f-48e3-ba64-d13477db0477,49b5f63f-9ed7-438b-8986-72f8a451ad3a,+15551000003,,123456,verified,login,1,3,2026-01-04 15:08:04,2026-01-04 14:53:04,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
b4c88aac-7e31-4f0f-848d-91dc0c753051,4d269e45-f35d-4367-829e-56f624d030e5,+15551000004,,123456,used,login,2,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
2cc96258-0f5d-4728-b6d7-eb2b461b1165,2379e53a-b35b-451a-ba9c-c73e27fdaeb1,+15551000005,,123456,pending,login,2,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
563ce50e-11b0-4d19-a42a-0a48b52b7adb,96783e00-25b9-4b2b-99e3-076d299b1ed6,+15551000006,,123456,expired,login,0,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
2d3ac8c2-1566-4fe7-96ee-3c6ab34a1093,f81b5321-6858-4d52-a4ee-660efcf5ec36,+15551000007,,123456,expired,login,2,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
26030942-456e-4977-b643-352c21236041,4f8c0906-f410-4b29-9485-a5a2d0c48fcc,+15551000008,,123456,used,login,0,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
2d3c65f8-9ceb-44b9-9850-c78dffa17d57,551b8471-c83b-43bc-a31e-1138813257e1,+15551000009,,123456,verified,login,1,3,2026-01-04 15:08:04,2026-01-04 14:53:04,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
ad3bfc01-4c6e-408d-a542-a8ee4a60fb97,27d56a5c-fb1a-492f-9d4a-8d294aa77209,+15551000010,,123456,pending,login,2,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
604894a7-4ac2-4b06-a654-b969a8c6ddca,5fa0ced2-3c18-4462-8a8a-380a01640d7c,+15551000011,,123456,expired,login,2,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
10f1f7f9-c042-4624-bfea-d8ce2efa3333,4f8c0906-f410-4b29-9485-a5a2d0c48fcc,+15551000012,,123456,pending,login,1,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
1b1eec83-ea2b-4976-84a1-7903c59e9aa0,487d7d66-1fed-41f3-aba1-0d3f281c6fc5,+15551000013,,123456,pending,login,0,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
0b80ae87-d14d-4b7a-9783-93d796400572,79a08445-53a5-4b3b-87ea-eadce504af71,+15551000014,,123456,used,login,2,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
b7ac5fc6-e82d-4024-b6df-4f7994b1fc19,4b100e8c-5835-418f-a645-58f6da04dd7f,+15551000015,,123456,verified,login,1,3,2026-01-04 15:08:04,2026-01-04 14:53:04,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
2f5d1734-304d-459a-81cb-daa5f46493df,cd1f2aec-d0f8-4abb-b475-fe67cbd6d222,+15551000016,,123456,pending,login,2,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
09f9ce96-5a7c-40c1-84d8-6d0dba0153ab,49b5f63f-9ed7-438b-8986-72f8a451ad3a,+15551000017,,123456,expired,login,0,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
7296e2fc-d19e-4639-b805-4ed8110d5c96,ad62d28d-ceeb-4cab-b9aa-c27e600ba5a0,+15551000018,,123456,pending,login,0,3,2026-01-04 15:08:04,,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
ccb9198a-30d5-41a0-9282-6ba06192f936,ff932d57-d80e-47b8-8890-1bc4be34f16f,+15551000019,,123456,verified,login,1,3,2026-01-04 15:08:04,2026-01-04 14:53:04,2026-01-04 14:48:04,2026-01-04 14:58:04,,,
